# BCCWJ 短単位語彙表 ver1.0 (NINJAL, doi:10.15084/00003218) — palavras de conteúdo por lema UniDic,
# ordenadas pelo registro coloquial: Yahoo!知恵袋 (OC) + Yahoo!ブログ (OY), pmw somado.
# rank	lemma	lForm	pos	coloquial_pmw	geral_pmw
8486	薄切り	ウスギリ	名詞-普通名詞-サ変可能	9.338	5.649
8487	全盛	ゼンセイ	名詞-普通名詞-一般	9.338	4.015
8488	カラーリング	カラーリング	名詞-普通名詞-一般	9.338	1.969
8489	暇潰し	ヒマツブシ	名詞-普通名詞-一般	9.338	1.807
8490	恨み	ウラミ	名詞-普通名詞-一般	9.336	8.326
8491	反転	ハンテン	名詞-普通名詞-サ変可能	9.336	4.187
8492	チルドレン	チルドレン	名詞-普通名詞-一般	9.336	1.816
8493	カーボン	カーボン	名詞-普通名詞-一般	9.335	4.560
8494	集計	シュウケイ	名詞-普通名詞-サ変可能	9.334	11.557
8495	下部	カブ	名詞-普通名詞-一般	9.334	9.368
8496	重症	ジュウショウ	名詞-普通名詞-一般	9.332	7.303
8497	製薬	セイヤク	名詞-普通名詞-一般	9.332	5.554
8498	暗号	アンゴウ	名詞-普通名詞-一般	9.328	8.441
8499	ルー	ルー	名詞-普通名詞-一般	9.327	2.896
8500	著しい	イチジルシイ	形容詞-一般	9.326	32.950
8501	気遣い	キヅカイ	名詞-普通名詞-一般	9.324	3.489
8502	ＤＣ	ディーシー	名詞-普通名詞-一般	9.323	3.317
8503	猪牙	チョキ	名詞-普通名詞-一般	9.322	1.845
8504	単体	タンタイ	名詞-普通名詞-一般	9.321	3.585
8505	分配	ブンパイ	名詞-普通名詞-サ変可能	9.316	12.742
8506	同人	ドウニン	名詞-普通名詞-一般	9.316	5.936
8507	均一	キンイツ	名詞-普通名詞-形状詞可能	9.316	5.583
8508	冬眠	トウミン	名詞-普通名詞-サ変可能	9.314	1.998
8509	ハングル	ハングル	名詞-普通名詞-一般	9.312	2.189
8510	ぱくる	パクル	動詞-一般	9.312	1.396
8511	通夜	ツヤ	名詞-普通名詞-一般	9.311	3.642
8512	損する	ソンスル	動詞-一般	9.311	1.902
8513	脅迫	キョウハク	名詞-普通名詞-サ変可能	9.310	7.867
8514	ハムスター	ハムスター	名詞-普通名詞-一般	9.308	3.307
8515	紙袋	カミブクロ	名詞-普通名詞-一般	9.307	3.690
8516	洗い流す	アライナガス	動詞-一般	9.305	3.288
8517	暗証	アンショウ	名詞-普通名詞-一般	9.305	1.682
8518	償却	ショウキャク	名詞-普通名詞-サ変可能	9.304	13.440
8519	籍	セキ	名詞-普通名詞-一般	9.304	5.305
8520	法定	ホウテイ	名詞-普通名詞-一般	9.302	12.943
8521	着メロ	チャクメロ	名詞-普通名詞-一般	9.299	1.118
8522	ＩＭＥ	アイエムイー	名詞-普通名詞-一般	9.288	1.596
8523	トラバ	トラバ	名詞-普通名詞-一般	9.282	0.899
8524	馬体	バタイ	名詞-普通名詞-一般	9.279	1.539
8525	慌ただしい	アワタダシイ	形容詞-一般	9.278	5.994
8526	必見	ヒッケン	名詞-普通名詞-一般	9.274	2.179
8527	左腕	ヒダリウデ	名詞-普通名詞-一般	9.273	4.072
8528	彫刻	チョウコク	名詞-普通名詞-サ変可能	9.271	13.440
